['20206181539692849', '密封。']
['202061815153737218', '密闭，在凉暗处（避光并不超过20℃）保存。']
['20206181520548646', '密封']
['202061815371093995', '密封']
['202061815181644286', '密封，置阴凉处。']
['202061815215452846', '密封']
['202061815152642040', '遮光，密闭保存。']
['20206181544151677', '密闭遮光']
['202061815135831396', '密封']
['202061815405597046', '遮光，密闭，在凉处保存。']
['202061815145240378', '密封，在阴凉处干燥处保存。']
['202061815283969495', '密封。']
['20206181513229862', '密封、遮光处保存。']
['202061815495614692', '遮光，密封，在阴凉干燥处保存。']
['20206181512426362', None]
['20206181538190672', '遮光，密封保存。']
['2020618154487752', '密封。']
['202061815222153006', '密封，在凉暗干燥处保存。']
['202061815345483439', '密封。']
['20206181547239580', '密封、遮光处保存。']
['202061815231456094', '密封保存。']
['202061815113825086', '遮光 ，密封保存。']
['20206181534081190', '遮光、密封、在凉暗处保存。']
['202061815443611038', '密封，置阴凉处（不超过20℃）。']
['202061815495614688', '遮光，密封，在阴凉干燥处保存。']
['20206181532977490', '遮光，密封保存。']
['202061815164139340', '遮光，密封保存。']
['2020618154777927', '密封，在阴凉干燥处（不超过20℃）保存。']
['20206181532177003', '遮光，密封保存。']
['20206181585033589', '密封保存。']
['202061815312074771', '遮光，密封，在阴凉处保存。']
['20206181540995504', '密闭，置阴凉干燥处。']
['2020618154748162', '密闭，防潮。']
['20206181530982545', '密封，置阴凉干燥处。']
['202061815195648533', None]
['202061815171541429', '遮光、密封、在干燥处保存。']
['202061815112024066', '密封，置阴凉处。']
['202061815472016793', '密封保存。']
['202061815242358628', '密封，阴凉干燥处']
['202061815484212140', '遮光，密封保存。']
['202061815125828882', '密封，置阴凉干燥处。']
['20206181545485629', '遮光，密封保存。']
['20206181545111747', '密封避光']
['202061815464812705', '密封，置阴凉处。']
['202061815243272040', '密封，置阴凉处。']
['20206181527472856', '密封。']
['202061815111023070', '密封。']
['202061815333187125', '密封，阴凉处']
['20206181544321855', '避光，密封。']
['202061815121226905', '密封，防潮。']
['202061815401395809', '密封，干燥。']
['202061815384191465', '密封保存。']
['20206181549912927', '密封，置于阴凉干燥处。']
['202061815215953049', '密封，在凉暗干燥处保存。']
['202061815372289027', '遮光，密封保存。']
['202061815355286048', '遮光，密封保存。']
['202061815321177287', '密封保存。']
['202061815181743565', '遮光，密闭保存。']
['202061815492813578', '密封。']
['202061815502315559', '密封、遮光。']
['20206181585718080', '遮光，密封保存。']
['202061815265565404', '遮光，密闭，在干燥处储存.']
['202061815121826871', '密封，防潮。']
['202061815165439811', '遮光、密闭保存。']
['20206181545455341', '遮光，密封保存。']
['202061815335981184', '遮光、密封、在凉暗处保存。']
['202061815164339491', '遮光，密封保存。']
['202061815354685844', '遮光，密封保存。']
['202061815114625734', '密封保存。']
['202061815484112218', '密闭保存。']
['202061815271672845', '密封。']
['202061815402295961', '密封。']
['202061815413598808', '密封。']
['202061815255562862', '密封，置阴凉处。']
['20206181528667397', '密封，在阴凉处干燥处保存。']
['202061815123428020', '遮光，密封，在阴凉干燥处保存。']
['202061815483211137', '密封。']
['202061815503815546', None]
['202061815475810281', '密封，置阴凉处。']
['202061815135331258', '密封，在干燥处保存。']
['202061815473117459', '密封保存。']
['202061815371988656', '遮光，密闭保存']
['202061815362686825', '密闭保存。']
['202061815484112216', '密闭保存。']
['202061815213151458', '密封，阴凉干燥处']
['202061815491013280', '密封，置阴凉处。']
['20206181530982575', '遮光，密封。']
['202061815503015979', '置阴凉处。']
['202061815362486715', '密封保存。']
['202061815402295945', '密封。']
['202061815401995949', '密封。']
['20206181549512324', '密闭保存。']
['202061815275976252', '密封，置阴凉处。']
['20206181531274675', '密封,置阴凉干燥处.']
['202061815305174294', '密封，置阴凉处（不超过20℃）。']
['20206181519745532', '密封，置阴凉处保存。']
['202061815231256014', '置于阴凉干燥处']
['202061815482220104', '密封保存。']
['202061815102021246', '密封']
['202061815274573596', '密封']
['202061815485512146', '密封，阴凉干燥处']
['202061815105628530', '密封。']
['202061815111924326', '避光，密封']
['202061815373089007', '遮光，密封保存。']
['202061815131730881', '密封，置阴凉处。']
['202061815124129154', '遮光，密闭保存。']
['20206181549712420', '密封。']
['202061815213352033', '避光，密闭']
['202061815141031542', '避光?密封保存']
['202061815494889844', '避光，密封']
['202061815322278028', '密封。']
['202061815111924331', '避光，密封']
['202061815312374967', '密闭，置阴凉处。']
['202061815475910355', '密封保存。']
['202061815492813586', '密封。']
['20206181511123225', '密封，置阴凉处。']
['202061815402095788', '密封，干燥。']
['202061815244359360', '密封。']
['202061815372788801', '遮光，密封保存。']
['20206181515041606', '密封。']
['202061815322878234', '遮光，密封保存。']
['202061815375796701', '密封，在阴凉(不超过20℃)干燥处保存。']
['202061815312074960', '密闭，置阴凉处。']
['20206181532977478', '遮光，密封保存。']
['20206181511323525', '密封，置阴凉处。']
['2020618154212101070', '密封。']
['202061815152436174', '遮光，密封保存。']
['202061815173746666', '密闭，在干燥处保存。']
['20206181526063621', '密封。']
['20206181585033547', None]
['202061815303477810', '遮光，密封，在阴凉干燥处保存。']
['202061815305274464', '密封。']
['202061815101421202', '密封']
['2020618154788165', '密封，置阴凉处。']
['20206181540195226', '密封，置阴凉干燥处。']
['202061815113024322', '避光，密封']
['20206181547239581', '密封、遮光处保存。']
['202061815115426167', '密封。']
['202061815231961814', '遮光，密封保存。']
['202061815191245599', '密封。']
['202061815345683660', '遮光，密封保存']
['2020618154224347', '密封。']
['20206181459540475', '密闭保存。']
['20206181539993017', '密封。']
['202061815471116925', '密封保存。']
['202061815153737017', '密封，避光。']
['202061815135931504', '密封。']
['202061815382297382', '密封，遮光。']
['202061815253361883', '遮光，密封保存。']
['202061815362886987', '遮光，密封保存。']
['202061815134838547', '密封。']
['20206181529369792', '遮光，密封，在干燥处保存']
['202061815232063391', '密封。']
['202061815311274867', '密封保存。']
['202061815355286038', '遮光，密封保存。']
['202061815494814642', '8℃以下避光保存']
['202061815304574061', '密封']
['202061815141731927', '密闭，防潮。']
['202061815204250030', '密闭，在阴凉处（不超过20℃）保存。']
['202061815115426169', '密封。']
['202061815382391229', '遮光、密封，在阴凉干燥处（不超过20℃）保存。']
['202061815253461899', '遮光，密封保存。']
['202061815191145521', '密封，置阴凉处保存。']
['202061815405997009', '密封，干燥处保存。']
['202061815382897439', '密闭，防潮。']
['202061815111724249', '干燥，密封，避光。']
['202061815191746169', '密封，置阴凉处。']
['202061815135931506', '密封。']
['202061815491013292', '密封，置阴凉处。']
['20206181544502804', '遮光，密封保存。']
['202061815161743599', '遮光，密闭保存。']
['202061815481910836', None]
['202061815244459265', '密封，置阴凉处。']
['20206181545334772', '密封,置阴凉处.']
['20206181517140105', '密封，在阴凉(不超过20℃)干燥处保存。']
['202061815111924357', '避光，密封']
['20206181526372399', '密封。']
['202061815502816124', '密闭保存。']
['202061815172846700', '密封。']
['202061815161243578', '遮光，密闭保存。']
['202061815161243581', '遮光，密闭保存。']
['202061815463212498', '遮光，密封保存。']
['202061815481310661', '遮光，密封保存。']
['202061815495521867', '密封，置阴凉干燥处。']
['202061815131929501', '密封保存。']
['202061815241767767', '密封，置阴凉处。']
['202061815284969474', '密封。']
['202061815244759253', '密封，置阴凉处。']
['20206181515836227', '密封，置阴凉处。']
['202061815171140697', '密闭，置阴凉处。']
['202061815491013284', '密封，置阴凉处。']
['20206181530883363', '密封。']
['202061815233856829', '密闭，防潮。']
['202061815121727217', '密封，置阴凉处。']
['202061815104022581', '密闭保存。']
['202061815155437794', '遮光，密闭保存。']
['202061815242958447', '遮光，密封保存。']
['202061815332889879', '密封.']
['202061815311589541', '密封，置阴凉处保存。']
['20206181517140034', None]
['202061815283969483', '密封。']
['202061815121226901', '密封，防潮。']
['202061815311785806', '遮光，密封保存。']
['20206181520348613', '密封（10～30℃）。']
['202061815212651713', '密封。']
['202061815121826885', '密封，防潮。']
['2020618154236101699', '遮光，密封，在干燥处保存。']
['20206181510835057', '密封。']
['202061815305174307', '密封，置阴凉处（不超过20℃）。']
['202061815151034846', '密封，阴凉干燥处']
['20206181519945623', '密封。']
['20206181540495624', '遮光，密封，置阴凉处（不超过20℃）。']
['202061815283969488', '密封。']
['202061815105135614', '密封，在干燥处保存。']
['202061815375696671', '密封，在阴凉(不超过20℃)干燥处保存。']
['20206181592418878', '密封']
['2020618154312102512', '遮光，密封，在干燥处保存。']
['202061815193747584', '密封，在干燥处保存。']
['20206181518757475', '密闭、干燥、避光处。']
['202061815354084699', '遮光，密封保存。']
['202061815133831014', '密封保存。']
['202061815212851846', '密封，置阴凉处。']
['202061815261764261', '密封。']
['202061815111523764', '密闭，防潮。']
['202061815305874440', '密封。']
['202061815322577654', '密闭，置阴凉干燥处。']
['202061815485312086', '密封。']
['20206181592318942', '密封']
['202061815153036569', '密闭，防潮。']
['20206181519745530', '密封，置阴凉处保存。']
['202061815203460486', '阴凉、干燥处密封保存。']
['202061815411798290', '低于30℃保存。']
['20206181547399412', '密封。']
['202061815133731233', '密封，在干燥处保存。']
['20206181531474454', '密封。']
['2020618153935100328', '密封。']
['202061815325479005', '密封。']
['202061815133430491', '密闭保存。']
['202061815355286044', '遮光，密封保存。']
['202061815502716061', '密闭保存。']
['20206181518857589', '遮光、密封，在阴凉（不超过20℃）干燥处保存。']
['20206181512626766', '密封，避光，置阴凉处（不超过20℃）']
['202061815144740303', '密封']
['202061815383797497', '密闭，在干燥处保存。']
['202061815113825079', '遮光 ，密封保存。']
['20206181544359906', '密封。']
['202061815154737689', '2～8℃避光保存。']
['202061815322777717', '密封，置阴凉处保存。']
['202061815265565435', '遮光，密闭，在干燥处储存.']
['202061815475810289', '密封，置阴凉处。']
['202061815311274864', '密封保存。']
['202061815333287365', '密封，置阴凉处。']
['202061815313775427', '密封。']
['20206181547469374', '密封。']
['202061815313775433', '密闭保存。']
['202061815133831020', None]
['2020618154224351', '密封。']
['20206181527472877', '密闭保存。']
['202061815443611032', '密封，置阴凉处（不超过20℃）。']
['202061815311275073', '密闭，置阴凉处。']
['202061815472618408', '密封。']
['2020618154323102832', '密闭']
['20206181526163489', '遮光，密封保存。']
['202061815174454826', '密封']
['202061815315076675', '密封，置阴凉处。']
['20206181533227230', '密封保存。']
['202061815274866618', '密封。']
['202061815314975756', '密封。']
['202061815305974680', '密封。']
['20206181531989579', '密闭，置阴凉处保存。']
['20206181524067490', '密封，在阴凉干燥处（不超过20℃）保存。']
['20206181545224005', '密封，在阴凉（不超过20℃）干燥处保存。']
['202061815114125179', '遮光 ，密封保存。']
['20206181519945624', '密封。']
['202061815255462578', '密封，防潮']
['20206181511723998', '密封，置阴凉干燥处。']
['20206181542308492', '密封。']
['202061815305874465', '密封。']
['20206181550021991', '密封。']
['202061815111724257', '干燥，密封，避光。']
['202061815132230293', '密封。']
['202061815183544605', None]
['202061815372789350', '遮光，密闭保存。']
['20206181542598373', '密封，置阴凉处。']
['202061815342781835', '遮光，密封，在凉暗处。']
['20206181546196577', '密封。']
['202061815494914543', '密封']
['202061815323278186', '密封，在避光处干燥处保存。']
['2020618154230101532', '遮光，密封，在干燥处保存。']
['202061815105135615', '密封，在干燥处保存。']
['202061815362387884', '遮光，密封保存。']
['202061815291970944', '密封，置阴凉处(不超过20℃)。']
['202061815375890414', '遮光，密闭，在凉处保存。']
['20206181537394131', '密封，阴凉干燥处']
['202061815172041287', '密封，置阴凉处。']
['202061815192747264', '遮光，密闭保存']
['202061815375596621', '密封，在阴凉(不超过20℃)干燥处保存。']
['20206181548419989', '遮光，密封，在干燥处保存。']
['2020618159517830', '遮光，密封，在阴凉干燥处保存。']
['202061815153036556', '密闭保存。']
['202061815132330344', '遮光，密封，在干燥处保存。']
['202061815181057272', '置密闭容器中，遮光保存。']
['202061815195948282', '密封']
['202061815124828024', '遮光，密封，在阴凉干燥处保存。']
['20206181543489105', '密封。']
['202061815321977837', '密封。']
['20206181585333585', '遮光，密闭，在阴凉处保存。']
['20206181540495622', '遮光，密封，置阴凉处（不超过20℃）。']
['202061815145634747', '密封，置阴凉处保存。']
['202061815193647660', '密封保存。']
['2020618154034828', '密封，置干燥处保存。']
['202061815314475240', '密闭保存。']
['202061815345983767', '密封。']
['202061815384297533', '密封。']
['202061815181657705', '密封，置阴凉处。']
['202061815242758350', '密封,在干燥处保存。']
['202061815181657703', '密封，置阴凉处。']
['202061815101533996', '密封保存。']
['202061815283468625', '密封。']
['20206181536386405', '密封保存。']
['2020618154748179', '遮光，密封保存。']
['202061815284969477', '密封。']
['202061815115326132', '密封']
['202061815151234950', '密封，置阴凉处(不超过20℃)。']
['202061815502916172', '密封']
['202061815255262530', '密闭保存。']
['202061815153937091', '遮光，密封，干燥阴凉处（不超过20℃）保存。']
['202061815355286052', '遮光，密封保存。']
['202061815471617118', '密封保存。']
['202061815412197889', '密封。']
['202061815482411182', '密封。']
['20206181510420726', '密封，置阴凉处。（不超过20℃）']
['20206181548010366', '密封。']
['202061815303085400', '遮光，密封，在干燥处保存。']
['202061815155237454', '密闭，在凉暗干燥处保存。']
['202061815184345149', '遮光，密封保存。']
['202061815101121600', '遮光、密封保存。']
['202061815251372110', '密闭、室温保存。']
['20206181543538826', '密封，在阴凉干燥处保存。']
['202061815204850355', '密封保存。']
['20206181548420004', '密封，在阴凉干燥处保存。']
['20206181540462174', '密封，在阴凉干燥处保存。']
['20206181594920379', '密闭保存。']
['20206181541097260', '密闭，在干燥处保存。']
['202061815213052187', '遮光，密封保存。']
['202061815372489079', '遮光，密封保存。']
['202061815412398319', '遮光，密封保存。']
['202061815383991498', '遮光、密封保存。']
['2020618154323102862', '密闭']
['202061814584160543', '密封保存。']
['202061815224954433', '遮光，密闭保存。']
['20206181519945621', '密封。']
['202061815372289334', '遮光，密闭保存。']
['202061815255362568', '密封，防潮']
['20206181519745537', '密封，置阴凉处保存。']
['20206181545495263', '遮光，密封保存。']
['20206181546196572', '密封。']
['20206181547459276', '密封。']
['202061815333087105', '密封。']
['202061815313775441', '密封。']
['202061815103122636', None]
['202061815483220186', '密封。']
['202061815295971767', '密封。']
['202061815255362566', '密封，防潮']
['2020618154323102830', '密闭']
['202061815384494601', '密封。']
['202061815145534659', '密封，置阴凉干燥处。']
['202061815252661583', '密封，置阴凉处。']
['20206181544553282', '置遮光容器内，密封，在干燥处保存。']
['202061815355186447', '密封保存。']
['202061815274866603', '密闭，在干燥处保存。']
['20206181546196675', '避光 密封保存']
['202061815211851015', '密闭保存。']
['202061815371394095', '置阴凉处保存。']
['202061815295771530', '密闭']
['202061815275466570', '密封，置阴凉处。']
['20206181513729146', '遮光，密封，在阴凉干燥处保存。']
['20206181544151675', '密闭遮光']
['202061815342381646', '遮光，密封保存。']
['202061815273266015', '密封，阴凉处保存']
['2020618159417731', '遮光、密闭保存 (10℃-30℃)。']
['202061815502515961', '密封，在阴凉干燥处（不超过20℃）保存。']
['202061815175142797', '密闭。']
['202061815113825191', '遮光 ，密封保存。']
['2020618154696443', '密封保存。']
['202061815273674289', '密封，置阴凉处（不超过20℃）。']
['202061815183244556', '密封，在干燥处保存。']
['20206181545435244', '密封置阴凉处。']
['202061815401995959', '密封。']
['20206181513829426', '遮光，密封，在干燥处保存。']
['20206181522960547', '密封。']
['2020618154031482', '密封，置阴凉处。']
['202061815475319788', '密封保存。']
['202061815264464634', '遮光，密闭保存。']
['202061815405597025', '密封，干燥处保存。']
['202061815125729060', '密封保存。']
['20206181534190353', '密封，干燥。']
['202061815202048925', '避光，密闭保存。']
['202061815243359067', '遮光，密封保存']
['20206181531674503', '避光，密封']
['202061815355085118', '遮光，密闭保存。']
['20206181518557531', '密封，在阴凉、干燥处保存。']
['202061815475610410', '遮光，密封保存。']
['202061815483920154', '遮光，密封保存。']
['202061815313775430', '密闭保存。']
['202061815173446992', '密封、遮光处保存。']
['202061815364287708', '遮光，密封保存。']
['202061815371994998', None]
['202061815405797151', '密封、置阴凉处。']
['20206181530382803', '密封保存。']
['202061815255362577', '密封，防潮']
['20206181585433525', '密封，置阴凉（不超过20℃）干燥处。']
['20206181543489076', '密封。']
['20206181510220497', '密封保存。']
['202061815101421168', '密封']
['202061815363987981', '遮光，密封保存。']
['20206181519445381', '密闭，在干燥处保存。']
['202061815394894204', '密封，在阴凉处干燥处保存。']
['202061815313475414', '密闭保存。']
['202061815312074962', '密闭，置阴凉处。']
['20206181592118806', '遮光，密闭，在阴凉干燥处保存。']
['202061815162744003', '密封。']
['2020618154241101773', '遮光，密封，在干燥处保存。']
['202061815492713514', '遮光，密封保存。']
['20206181523455697', '密封保存。']
['202061815463312538', '密封，阴凉干燥处']
['202061815494714817', '密封。']
['202061815272666224', '密封，置阴凉处。']
['202061815305974272', '密封，置阴凉处（不超过20℃）。']
['202061815372196048', '密封。']
['202061815102522359', '密闭保存。']
['202061815195548351', '未开封的药瓶应保存在2-8°C环境下，避免冷冻。 本品用5%葡萄糖注射液稀释后供静脉滴注的药液应立即使用。稀释液不立即使用时应保存在2-8°C环境下，不超过24小时。 药液未用完的药瓶应丢弃。']
['20206181540795739', '密封，置阴凉处。']
['202061815474819732', '避光']
['20206181535683930', '遮光，密闭，在干燥处储存。']
